thumb href,tagItemTitle href,speakerName,genericItemIntroText,specialty_codes href,specialty_codes,specialty_codes href (2),specialty_codes (2),genericItemIntroText (2),specialty_codes href (3),specialty_codes (3),specialty_codes href (4),specialty_codes (4),specialty_codes href (5),specialty_codes (5),specialty_codes href (6),specialty_codes (6),specialty_codes href (7),specialty_codes (7),specialty_codes href (8),specialty_codes (8),specialty_codes href (9),specialty_codes (9),genericItemIntroText (3),genericItemIntroText (4),priceRange
https://www.ovations.com.au/speakers/rachael-bermingham,https://www.ovations.com.au/speakers/rachael-bermingham,Rachael Bermingham,"Rachael Bermingham is co-author of 'Read My LIPS', the 4 Ingredients Cookbooks and author of the recently launched 'How to Write Your Own Book & Make it a Bestseller'. Rachael is a popular speaker and role model and inspires people throughout Australia, NZ, and the UK with her talks and story on how she went from beyond broke to being one of the countries highest earning authors. Rachael LOVES ...",https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/marketing,MARKETING,,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Personal%20Development,PERSONAL DEVELOPMENT,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/kevin-biggar,https://www.ovations.com.au/speakers/kevin-biggar,Kevin Biggar,"Kevin Biggar is a modern day adventurer, author and an award winning speaker with a passion for sharing the insights from him experiences. Drawing on learnings from his adventures and professional career Kevin shares proven tips and techniques for fearlessly facing challenges, energising and uniting teams and taking peformance to the next level. Whether it's to a small group of senior management ...",https://www.ovations.com.au/speaker-filter-search-results/speakers/Adventurer,ADVENTURER,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adversity,ADVERSITY,,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/corporate-culture,CORPORATE CULTURE,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sales,SALES,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,,,,,3500-5000
https://www.ovations.com.au/speakers/ray-bigger,https://www.ovations.com.au/speakers/ray-bigger,Ray Bigger,As a former English Premier League/Football League Referee Ray talks to the skill set of a top level Referee and how that is relevant to Management and Managing People today. This is a unique talk as there is no one else in Asia who can cover this subject with the combined background that Ray has. ...,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/marketing,MARKETING,,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sales,SALES,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/angela-bishop,https://www.ovations.com.au/speakers/angela-bishop,Angela Bishop,"Network Ten's popular and highly respected Entertainment Reporter is now a permanent fixture at radio station MIX 106.5FM presenting all the headlines and happenings from the entertainment industry and related fields. Combining her passion and expertise for the arts and current affairs on a daily basis, Angela has established herself as a prominent identity within the international entertainment m ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/john-blackman,https://www.ovations.com.au/speakers/john-blackman,John Blackman,"John Blackman is one of those rare talents who possess the energy and professionalism to have enjoyed success in two careers - radio and television. He also has the acumen to triumph in many other media-related ventures. His radio and television experience spans almost 30 years. John's well-known voice has been described as ""gentlemanly, sardonic, resonant and glib"" and his humour as ""droll, spon ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Characterisation%20/%20Hoax%20/%20Impersonations,CHARACTERISATION / HOAX / IMPERSONATIONS,,https://www.ovations.com.au/speakers/comedy,COMEDY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/dean-blomson,https://www.ovations.com.au/speakers/dean-blomson,Dean Blomson,"Dean Blomson is the current Director of Strategy for Fonterra New Zealand, and more recently held the position of Managing Director in Australia and New Zealand for Corporate Value Associates, an international consultancy best known and respected for conducting fact based, analytical top end corporate strategy and marketing strategy projects. ...",https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/allan-bolton,https://www.ovations.com.au/speakers/allan-bolton,Allan Bolton,"Allan Diabetic triathlete. Recognised internationally as an expert in the areas of health, lifestyle, sports performance and motivation, Allan also has the rare ability to translate the latest in human science so that it's both entertaining and compelling. Allan motivates and inspires his audiences with his positive 'can do' message from someone who really has 'done it'. ...",https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/frano-botica,https://www.ovations.com.au/speakers/frano-botica,Frano Botica,"Frano Botica is a former Rugby Union and Rugby League player who represented his country at both sports and also played for Croatia in a rugby union world cup qualifying match. Frano's long sporting career and experience have given him great insight into international sport and business. As a former captain for North Harbour, he has well developed leadership skills. He has an understanding and eas ...",https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/anna-louise-bouvier,https://www.ovations.com.au/speakers/anna-louise-bouvier,Anna-Louise Bouvier,"Anna-Louise is a physiotherapist and the developer of Physiocise, a specialised exercise and education program for people with back or neck pain. Her practice in Sydney employs nine physiotherapists and has over 600 clients each week in its 52 classes, including the NSW Waratahs Super 12 Rugby Union Squad. Anna-Louise also wrote and recorded The Qantas Comfort Zone series of exercises for all Qant ...",https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/brett-bower,https://www.ovations.com.au/speakers/brett-bower,Brett Bower,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Characterisation%20/%20Hoax%20/%20Impersonations,CHARACTERISATION / HOAX / IMPERSONATIONS,https://www.ovations.com.au/speakers/entertainment,ENTERTAINMENT,"Brett Bower speaks at events around Australia and New Zealand on topics such as ""Adding Creativity to Presentations"". His clients include St George Bank, MLC, Acer Computers and many more. Producing quick cartoons and caricatures while he presents, Brett has the natural talent and personality to make your event or conference a success. ...",,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/raelene-boyle,https://www.ovations.com.au/speakers/raelene-boyle,Raelene Boyle,"One of Australia's greatest track and field athletes, Raelene Boyle brought audiences to their feet for over fourteen years of international competition. Raelene first took the international stage in Mexico City in 1968 winning silver at the age of just 16, a promise of things to come. ...",https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Olympics,OLYMPICS,,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/damian-brown,https://www.ovations.com.au/speakers/damian-brown,Damian Brown,"Damian Brown is an inspiring personality with outstanding sporting success; representing Australia in Weightlifting, at 3 Olympic Games and 4 Commonwealth Games winning 4 Gold, 1 Silver and 3 Bronze medals; and competing in twelve consecutive World Championships (a World Record). Damian was also honoured as the Australian Team Flag Bearer for the Opening Ceremony of the 2002 Commonwealth Games. Da ...",https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Olympics,OLYMPICS,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/john-brown-ao,https://www.ovations.com.au/speakers/john-brown-ao,John Brown AO,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Current%20Affairs,CURRENT AFFAIRS,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Management,MANAGEMENT,https://www.ovations.com.au/speakers/marketing,MARKETING,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/sally-browne,https://www.ovations.com.au/speakers/sally-browne,Sally Browne,"Sally Browne is the epitome of success - her story is one of urban and small business survival. It began from determined and simple beginnings in the 60's sewing skimpy stylish dresses to wear on stage as washboard player with the Red Onion Jazz Band. She has received a myriad of awards for excellence in fashion design and for outstanding business leadership. She is an inspirational, entertaining ...",https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/change,CHANGE,,https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,https://www.ovations.com.au/speakers/marketing,MARKETING,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/barry-bull,https://www.ovations.com.au/speakers/barry-bull,Barry Bull,"A multi award-winning retailer, Barry Bull founded Toombul Music, was one of Australia's largest independent music retailers. Legendary for using celebrity appearances of people like Cliff Richards to pack his stores and the Malls. It's not every day that people get to rub shoulders with the rich and famous. But for Barry Bull, working with celebrities is like a walk in the park. Barry is a respec ...",https://www.ovations.com.au/speakers/customer-service,CUSTOMER SERVICE / LOYALTY,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Franchise,FRANCHISE,https://www.ovations.com.au/speakers/innovation-technology-social-media,INNOVATION / TECHNOLOGY,https://www.ovations.com.au/speakers/marketing,MARKETING,https://www.ovations.com.au/speakers/retail,RETAIL,https://www.ovations.com.au/speakers/sales,SALES,,,,,,,3500-5000
https://www.ovations.com.au/speakers/tanya-bulmer,https://www.ovations.com.au/speakers/tanya-bulmer,Tanya Bulmer,"Tanya has appeared in several televeision guest roles including Thank God You're Here, All Saints, Home and Away, Good News Week and Backberner to name a few. Her experience in live radio is vast. Having started out with the comical Club Veg and moving into the co-host chair with the top rating Triple M breakfast show in Brisbane. From there Tanya went onto host WSFM Breakfast with Brendan Jones ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,,https://www.ovations.com.au/speakers/sales,SALES,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/susie-burrell,https://www.ovations.com.au/speakers/susie-burrell,Susie Burrell,,https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,"Susie Burrell is one of Australia's leading dietitian's; her unique training in both nutritional science and psychology helping thousands of adults, children and athletes reach their health and nutrition goals without diets or deprivation. ...",,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/amos-bush,https://www.ovations.com.au/speakers/amos-bush,Amos Bush,"Amos began his own independant automotive retailer in 1970. Years later he decided that in order to challenge the larger retail chains, he would need to join forces with other independant retailers. In August 1985 the Autobarn cooperative was formed with nine members and eleven stores, with a combined turnover of just around $11,500,000. By 1990, the co-operative grew to 28 member stores. At that ...",https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/communication,COMMUNICATION,,https://www.ovations.com.au/speakers/customer-service,CUSTOMER SERVICE / LOYALTY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Franchise,FRANCHISE,https://www.ovations.com.au/speakers/marketing,MARKETING,https://www.ovations.com.au/speakers/retail,RETAIL,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/matthew-byrne,https://www.ovations.com.au/speakers/matthew-byrne,Matthew Byrne,"Matthew Byrne is a profound lecturer in the areas of advertising communication and marketing; drawing on his years of experience in advertising, Matthew teaches Advertising Practice, Strategic Advertising as well as Advertising Creative Strategies. ...",https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/marketing,MARKETING,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/david-callan,https://www.ovations.com.au/speakers/david-callan,David Callan,"David Callan is an actor, comedian and writer... but more interestingly an actual former ASIO spy with links to international espionage! In the ten years since he left the world of espionage, David has found a home in the entertainment industry, where his versatility and enthusiasm have made him one of the most sought after performers in Australia. He has made a name for himself on the stand-up co ...",https://www.ovations.com.au/speakers/comedy,COMEDY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/paul-calleja,https://www.ovations.com.au/speakers/paul-calleja,Paul Calleja,"Paul Calleja makes the difficult business of being funny look easy with his affable, laid back style and his razor sharp wit. ...",https://www.ovations.com.au/speakers/comedy,COMEDY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/ewan-campbell,https://www.ovations.com.au/speakers/ewan-campbell,Ewan Campbell,"Ewan has worked the comedy circuit of Sydney for well over a decade and is well loved by audiences at Channel 9, TEN, Seven and the ABC. His comic talents are regularly utilised by the crew at Enough Rope with Andrew Denton, Australia's Funniest Home Video and The Footy Show. He has kept audiences entertained at the Australian Idol Grand Final, The Arias and Jazz in the Domain. When it comes to ...",https://www.ovations.com.au/speaker-filter-search-results/speakers/Characterisation%20/%20Hoax%20/%20Impersonations,CHARACTERISATION / HOAX / IMPERSONATIONS,https://www.ovations.com.au/speakers/comedy,COMEDY,,https://www.ovations.com.au/speakers/entertainment,ENTERTAINMENT,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/darren-carr,https://www.ovations.com.au/speakers/darren-carr,Darren Carr,,https://www.ovations.com.au/speakers/comedy,COMEDY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,"At the tender age of eight, DARREN CARR started playing with dolls and talking to himself. Much to his parents' relief, these peculiar traits were not the result of 'too much chlorine in the gene pool', but Darren's interest in the art of ventriloquism. From these early beginnings, Darren has gone on to become Australia's Premier Ventriloquist, performing both here and abroad to wide acclaim with ...",,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/garth-castle,https://www.ovations.com.au/speakers/garth-castle,Garth Castle,"Hardly a day goes by where stress is not highlighted in one way or another. The reality is, stress will play a part in your life from childhood right through to old age. The cause of your stress may appear in the form of a financial loss, ill health, relationship break-up, conflict with another person, death of a loved one...and unfortunately the list goes on. Stress is not something that was made ...",https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Personal%20Development,PERSONAL DEVELOPMENT,,,,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/lynn-champion,https://www.ovations.com.au/speakers/lynn-champion,Lynn Champion,"One of Australia's best known communicators Lynn Champion is a courier of hope. She shows businesses how to deal with workplace challenges and change by guiding staff through powerful, thought provoking and practical communication strategies. Lynn is the author of four business, motivation and relationships books, has contributed to three other international titles and is frequently interviewed o ...",https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speakers/communication,COMMUNICATION,,https://www.ovations.com.au/speakers/corporate-culture,CORPORATE CULTURE,https://www.ovations.com.au/speakers/customer-service,CUSTOMER SERVICE / LOYALTY,https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,,,,,,,3500-5000
https://www.ovations.com.au/speakers/richard-champion,https://www.ovations.com.au/speakers/richard-champion,Richard Champion,,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,"Richard has had a football career spanning 14 years, including 10 years with the Brisbane Bears / Lions. Qualifying for entry to the AFL's prestigious 200 Club at the conclusion of his career, Richard Champion won lavish praise from coach Leigh Matthews. He was awarded Brisbane Lions Life Membership at the end of the 2000 season for his 10 years of loyal service to the club. Richard has a multi-t ...",https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sport,SPORT,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/sean-choolburra,https://www.ovations.com.au/speakers/sean-choolburra,Sean Choolburra,,https://www.ovations.com.au/speakers/comedy,COMEDY,https://www.ovations.com.au/speakers/education,EDUCATION,"Sean Choolburra has carved his niche as Australia's No 1 indigenous entertainer. After winning the NSW Raw Comedy final, Sean has gone on to prove himself as a dynamic and versatile comedian, rap singer, dancer, storyteller, actor & hip-hop didge player. Hailing from Townsville, Sean has an established career as a dancer and created the NGARU Dance Company and performed all over the world with th ...",https://www.ovations.com.au/speakers/entertainment,ENTERTAINMENT,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,https://www.ovations.com.au/speaker-filter-search-results/speakers/Indigenous%20Affairs,INDIGENOUS AFFAIRS,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/tony-christiansen,https://www.ovations.com.au/speakers/tony-christiansen,Tony Christiansen,He tells of the adversity he has faced since the age of nine when a horrific railway accident left him without legs. He is a successful businessman and best selling author; a qualified lifeguard honoured by World Surf Lifesaving Federation; an Olympic gold medallist in shotput discus and javelin; has a Second degree black belt in Tae Kwon Do; a race car champion and a qualified Pilot creating New ...,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adventurer,ADVENTURER,https://www.ovations.com.au/speaker-filter-search-results/speakers/Management,MANAGEMENT,,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/philip-clark,https://www.ovations.com.au/speakers/philip-clark,Philip Clark,"Philip has been, variously: a lawyer, a journalist, a Federal Ministerial adviser and a radio broadcaster. In these roles Philip introduced longstanding favourites such as the Sydney Morning Herald's Stay in Touch column, the 2BL Evening Quiz and the Andrew Olle memorial lecture. Since 2002, he has presented the highly successful Philip Clark Drive Program from 4pm-7pm weekdays. The show mixes new ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Current%20Affairs,CURRENT AFFAIRS,,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/sally-cockburn,https://www.ovations.com.au/speakers/sally-cockburn,Sally Cockburn,"Dr Feelgood is Dr Sally Cockburn, a medical practitioner who graduated from Monash University in 1982. She has always had a keen interest in Public Health Education, Preventative Medicine and counselling. She has held teaching posts at both Monash and the University of Melbourne and is involved in many community activities. Sally sits on several boards: The Melbourne Metropolitan Ambulance Commi ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/leonie-collins,https://www.ovations.com.au/speakers/leonie-collins,Leonie Collins,"Leonie has worked with groups, individuals in management and front-line staff, having run corporate in-house training for the past twelve years on Customer Care, Winning Presentations, Image and Style, Business Protocol, Team Building, Communication and Sales. She has assisted in changing the image and improving the performance and attitude of employees of many large organizations particularly in ...",https://www.ovations.com.au/speaker-filter-search-results/speakers/Characterisation%20/%20Hoax%20/%20Impersonations,CHARACTERISATION / HOAX / IMPERSONATIONS,https://www.ovations.com.au/speakers/communication,COMMUNICATION,,https://www.ovations.com.au/speakers/customer-service,CUSTOMER SERVICE / LOYALTY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,https://www.ovations.com.au/speakers/sales,SALES,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,3500-5000
https://www.ovations.com.au/speakers/alyssa-jane-cook,https://www.ovations.com.au/speakers/alyssa-jane-cook,Alyssa-Jane Cook,"Alyssa-Jane Cook is one of Australia's most respected actors and personalities. While her first love will always be pure acting roles, she is also an accomplished television host, two credits not usually found residing comfortably in the one performer. Alyssa-Jane has appeared in such Australian television drama series as Sons & Daughters, A Country Practice, E-Street and Home and Away and has b ...",https://www.ovations.com.au/speakers/celebrity,CELEBRITY,,,,,,,,,,,,,,,,,,,,3500-5000
