thumb href,tagItemTitle,genericItemIntroText,specialty_codes href,specialty_codes,specialty_codes href (2),specialty_codes (2),specialty_codes href (3),specialty_codes (3),specialty_codes href (4),specialty_codes (4),specialty_codes href (5),specialty_codes (5),specialty_codes href (6),specialty_codes (6),specialty_codes href (7),specialty_codes (7),specialty_codes href (8),specialty_codes (8),specialty_codes href (9),specialty_codes (9),specialty_codes href (10),specialty_codes (10),genericItemIntroText (2),genericItemIntroText (3),specialty_codes href (11),specialty_codes (11),specialty_codes href (12),specialty_codes (12),specialty_codes href (13),specialty_codes (13),specialty_codes href (14),specialty_codes (14),specialty_codes href (15),specialty_codes (15)
https://www.ovations.com.au/speakers/emmanuel-daniel,Emmanuel Daniel,,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,,,,,,,,,,,,,,,,,,,"Emmanuel Daniel is the founder of The Asian Banker. He is Managing Director and Editor-In-Chief of the Company he founded in September 1996, and has led it to become the leading research, publication and consultancy company in the Asia Pacific financial services community with a strong reputation worldwide. Emmanuel travels widely and is sought after as a commentator on the financial services ind ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/ramon-de-leon,Ramon De Leon,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Creative%20Thinking,CREATIVE THINKING,https://www.ovations.com.au/speakers/customer-service,CUSTOMER SERVICE / LOYALTY,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speakers/marketing,MARKETING,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sales,SALES,https://www.ovations.com.au/speaker-filter-search-results/speakers/Social%20Media,SOCIAL MEDIA,,,,,,,Ramon De Leon started with Domino's Pizza in Chicago as a pizza delivery driver. Twenty Six years later Ramon is the Marketing Mind of a six store Domino's Pizza Franchise in Chicago. His career has also given him the opportunity to work in Mexico as a Business Development Consultant for Domino's Pizza. Extreme Passion and High Energy are words that best describe his love for the pizza business. ...,,,,,,,,,,,
https://www.ovations.com.au/speakers/robbie-deans,Robbie Deans,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/sport,SPORT,https://www.ovations.com.au/speakers/teambuilding,TEAMBUILDING,,,,,,,,,,,,,,,"Robbie Deans has achieved the highest level in Rugby Union, as a player for the New Zealand All Blacks and more recently a coach for the Australian Wallabies. He is regarded as the most successful coach in Super 14 history. He possesses a great energy and a strong will to succeed which is demonstrated by his coaching style and a prominent stance in the game of Rugby. Robbie's profile as the Aus ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/melissa-doyle,Melissa Doyle,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,"Melissa Doyle is the host of Seven's Sunrise program. A familiar face to audiences of the Seven Network, since 1995 Melissa has worked as a reporter, presenter and anchor within Seven's News and Current Affairs department. An accomplished host, Melissa Doyle hosted the Australian PGA Championship ""Dinner with the Stars"" lead by Greg Norman (2004), the Inaugural Melbourne Autumn Racing Carnival ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/stuart-ellis-myers,Stuart Ellis-Myers,,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sales,SALES,,,,,,,,,,,,,,,"Stuart Ellis-Myers is a dramatic model of self-inspiration and determination. When he speaks of improving lives, he speaks from personal experience. Since the age of nine (9) Stuart has ""suffered"" from Tourettes Syndrome. Despite this handicap, Stuart has become an internationally known and respected speaker on communication leadership, sales and customer relationship management practices that yie ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/warren-evans,Warren Evans,,https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speaker-filter-search-results/speakers/Management,MANAGEMENT,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,"Everyone wants help peering into the future, either to recognize opportunity & seize a competitive advantage, or just to avoid being blind sided. The frustration is that most of the folks who can help them do this tend to look at the world through their own specific lens. An economist will give you economic data, demographers will explain the entire world through demographics, technology guru's wi ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/peter-evans,Peter Evans,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,,,,,,,,,,,,,,,,,,,"Born in Melbourne but raised by the beach on Queensland's Gold Coast, one of the reasons a career as a chef appealed to Peter Evans was the lure of surfing all day and working at night. After opening his first restaurant, Pantry, in Melbourne's bay side suburb of Brighton in 1993 with his brother David and his brother's best friend, Daniel, Pete moved to Sydney in 1996 where the team established H ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/sophie-falkiner,Sophie Falkiner,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adversity,ADVERSITY,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,"Sophie Falkiner's career reads as the success story she is. On leaving school Sophie worked in fashion and ended up managing a fashion house, putting together people's wardrobes and trying her hand at design. Wanting a bigger challenge, Sophie embarked on a Communications degree majoring in print journalism and received a distinction average. Within weeks of graduating Sophie scored the highly so ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/sean-fitzpatrick,Sean Fitzpatrick,,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,,,,,,,,,,,"The most capped All Black and one of the most durable rugby players New Zealand or any other country has seen. Sean was also described by former All Black coach, Laurie Mains, as an inspirational leader and set to become the best captain of an All Black team ever. ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/peter-fitzsimons,Peter FitzSimons,,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/sport,SPORT,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,"Peter FitzSimons is a well respected columnist for The Sydney Morning Herald and London Daily Telegraph, television presenter on Fox Sports, speaks four languages, has played rugby for Australia, interviewed famous people around the globe from George Bush to Mother Theresa and Diego Maradona and written twelve best-selling books. Peter has a certain flair in stage when story telling that is non-co ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/olivia-fox-cabane,Olivia Fox Cabane,"Known as ""The Charisma Coach"",  Olivia has lectured on the topic at Harvard, Yale, MIT and the United Nations. She has been quoted and featured in media such as The New York Times, Bloomberg, BusinessWeek, Crain's New York or Sirius Satellite Radio, and is the author of The Pocket Guide to Becoming a Superstar In Your Field.

A former legal counsel, Olivia has worked with one of the ...",https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/nicolas-frances,Nicolas Frances,,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speaker-filter-search-results/speakers/Environment%20/%20Sustainability,ENVIRONMENT / SUSTAINABILITY,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,,,,,,,,,,,,"Nic is an outstanding speaker and at once powerful and compelling. He specializes in issues such as leadership, change management and social issues but is equally at home facilitating a business session or very entertaining after dinner speech. Nic is a world renowned social entrepreneur and an award-winning writer. Nic is the founding chairman and CEO of a global company delivering energy effic ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/dawn-fraser,Dawn Fraser,,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Olympics,OLYMPICS,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,,,,,,,Dawn Fraser was named Australian of the Year in 1964 and voted Australia's greatest female athlete in 1988. She was named Australian Female Athlete of the Century by the Sport Australian Hall of Fame as well as the World's Greatest Living Female Water Sports Champion by the International Olympic Committee in 1999. Also she is the recipient of the Australian Sports Medal on 14 July 2000 and The Ord ...,,,,,,,,,,,
https://www.ovations.com.au/speakers/yossi-ghinsberg,Yossi Ghinsberg,"Author of Jungle and Laws of the Jungle, Yossi Ghinsberg is one of the most compelling speakers of his generation. His messages are inspirational and unique. In the midst of the uncharted Amazon, after losing his three companions, a young Israeli traveller is tested to the extreme through 20 harrowing days of sheer survival. A riveting storyteller, Yossi Ghinsberg relives his ordeal while sweeping audiences into the depths of the primordial jungle. Yossi now speaks to his audiences about survival and the ability to take vision and turn it into reality.",https://www.ovations.com.au/speaker-filter-search-results/speakers/Adventurer,ADVENTURER,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adversity,ADVERSITY,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speaker-filter-search-results/speakers/Environment%20/%20Sustainability,ENVIRONMENT / SUSTAINABILITY,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/guy-grossi,Guy Grossi,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Chef,CHEF,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,,,,,,,,,,,,,,,"A popular media personality, Guy is currently in production co-hosting a special Food Safari series for SBS, he makes regular appearances on David and Kim, MasterChef, A Current Affair and across all networks as the fun, flamboyant, skilled and entertaining Chef. ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/natalie-gruzlewski,Natalie Gruzlewski,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,"Natalie travels the globe in search of adventure for Getaway and in contrast to her jet-setting lifestyle, Natalie has hosted her fourth series of The Farmer Wants A Wife. A role that has endeared her in the hearts of viewers and showcases her empathetic and sensitive interview skills. She continues to be a favourite across the network and enjoys fill-in roles such as co-hosting on Weekend Today ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/dorinda-hafner,Dorinda Hafner,,,,,,,,,,,,,,,,,,,,,,"Dorinda Hafner has had a head-spinning career in the arts, television and the food business for over 25 years. Dorinda is also a very popular public speaker, traveling extensively throughout Australia, the U.S. and U.K. She remains in demand for television and radio appearances. ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/richard-hawk,Richard Hawk,,,,,,,,,,,,,,,,,,,,,,"Recognised as an industry leader in bringing fun into the safety field, Richard Hawk is an author, speaker, trainer and entertainer. For more than 20 years, Richard's innovative approach to safety has helped hundreds of companies reduce their injury rate. He can do the same for you. ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/david-helfgott,David Helfgott,,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/entertainment,ENTERTAINMENT,,,,,,,,,,,,,,,,,"It seems that David Helfgott was born to be a musician.
In his teens he won the state final of the Australian Broadcasting Corporation's Instrumental and Vocal Competition and the age of fourteen, musician Issac Stern was so impressed by his playing that he urged overseas study for the young prodigy.

Having been likened technically and temperamentally to pianist master Horowitz, ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/philip-hesketh,Philip Hesketh,,https://www.ovations.com.au/speakers/communication,COMMUNICATION,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speaker-filter-search-results/speakers/Negotiation,NEGOTIATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Personal%20Development,PERSONAL DEVELOPMENT,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,https://www.ovations.com.au/speakers/sales,SALES,,,,,,,,,"Philip Hesketh is a professional speaker on the psychology of persuasion and influence. He is the current holder of the award for 'Most Requested and Top Scoring Speaker' for the Chief Executives' organisation, Vistage. Philip is the author of the Amazon number one best seller, 'Life's A Game So Fix The Odds' which has been described as 'the definitive guide to persuasion and influence'. Philip' ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/michael-hill,Michael Hill,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Human%20Resources,HUMAN RESOURCES,https://www.ovations.com.au/speakers/marketing,MARKETING,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/retail,RETAIL,,,,,,,,,,,,,"Michael Hill is Chairman and Managing Director of one of New Zealand's most successful retail companies - Michael Hill Jeweller. Thirteen years ago, the first Michael Hill Jeweller store was established. The concept was so innovative that it revolutionised jewellery retailing in New Zealand. Within seven years, there were 70 outlets spread throughout the country and into Australia. Some 10 years ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/amantha-imber,Dr Amantha Imber,"Dr Amantha Imber is an organisational psychologist and founder of behaviour change consultancy Inventium. She hosts the top ranking podcast How I Work, which has had over 5 million downloads. Amantha is also the co-creator of the Australian Financial Review’s Most Innovative Companies list and the AFR BOSS Best Places to Work list. Amantha has helped companies such as Google, Apple, Disney, LEGO, Atlassian, Commonwealth Bank and many others reinvent the way they approach their work.",https://www.ovations.com.au/speakers/innovation-technology-social-media,INNOVATION / TECHNOLOGY,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/health-lifestyle,HEALTH AND WELLNESS,https://www.ovations.com.au/speakers/corporate-culture,CORPORATE CULTURE,,,,,,,,,,,,,,"In 2019, Amantha was named as one of the Australian Financial Review’s 100 Women of Influence. In 2021, she won the Thinkers50 Innovation Award (described by the Financial Times as the ‘Oscars for Management Thinking’).",,,,,,,,,,
https://www.ovations.com.au/speakers/matina-jewell,Matina Jewell,"Major Matina Jewell (Retired) is one of the most highly decorated women in Australian military history. More than another inspirational life-story, Matina shares the learning from her experiences allowing you the opportunity for a personal journey of introspection and perspective.",https://www.ovations.com.au/speaker-filter-search-results/speakers/Adversity,ADVERSITY,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/kristina-karlsson,Kristina Karlsson,Authentic. Relatable. Engaging. Moving. Funny. Inspiring. Remarkable. Effective. Just some of the words used to describe Kristina Karlsson as a keynote speaker and workshop facilitator.,https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speakers/innovation-technology-social-media,INNOVATION / TECHNOLOGY,https://www.ovations.com.au/speakers/marketing,MARKETING,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,,,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/gretel-killeen,Gretel Killeen,"Most commonly known as the host of the phenomenally successful television program Big Brother, Gretel Killeen is also a best-selling international author of nineteen books and winner of the 2001 MO Award for Best Female Comic. On television she featured as a 'Beauty' on Beauty and the Beast and appeared as Ray Martin's wife for three years in the cult classic A Town Like Dallas (The Midday Show). ...",https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Generations,GENERATIONS,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/poppy-king,Poppy King,"Poppy King founded Poppy Industries Pty Ltd at 18 years of age, after recognising a gap in the market for matte lipstick. She sourced manufacturers, secured capital and investment and developed the product with the first range of colours going on sale in Australia in March 1992.
The media took a great deal of interest in both the product and Poppy King the person. Brand awareness grew very qui ...",https://www.ovations.com.au/speakers/ceo-entrepreneur,CEOS / ENTREPRENEURS,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/brett-king,Brett King,,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speakers/future-trends,FUTURE / TRENDS,,,,,,,,,,,,,,,"Brett King, author of Bank 2.0, is also the founder of the International Academy of Financial Management, one of the fastest growing professional associations and training institutes in the world. A regular speaker at the top global conferences for financial services, King is an acknowledged expert on wealth management, customer experience and retail channel distribution strategy. Brett's book ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/robert-kirby,Robert Kirby,,https://www.ovations.com.au/speakers/corporate-culture,CORPORATE CULTURE,https://www.ovations.com.au/speakers/future-trends,FUTURE / TRENDS,https://www.ovations.com.au/speakers/innovation-technology-social-media,INNOVATION / TECHNOLOGY,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,,,,,,,,,,,,,"Robert has over 20 years of experience in managing and leading multi-national companies in Europe and Asia. Because of his unique Leadership Style and his passion toward Total Quality and Service Excellence, a number of organisations under his leadership received awards on Quality Excellence, People Development Excellence and Service Excellence. In his previous life as a Hotel General Manager, Rob ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/michael-klim,Michael Klim,"Michael Klim is one of Australia's most accomplished and beloved swimmers, known for his versatility, athleticism, and enduring legacy in the sport. Over the course of his illustrious career, Klim earned six Olympic medals across three Olympic Games, showcasing his remarkable talent and competitive spirit on the world stage.",https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Olympics,OLYMPICS,https://www.ovations.com.au/speakers/sport,SPORT,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.ovations.com.au/speakers/david-koch,David Koch,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/economics-business,ECONOMICS / BUSINESS,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,"David is the resident Business and Finance expert for the Seven and Prime TV Networks, co-host of Channel Seven's Sunrise program as well as other Channel Seven programs including prime time hit ""Where Are They Now"" and ""Business Builders"". David has also published a number of best selling books on finance as well as his hugely successful ""Kochie Best Jokes"" books. His specialty is speaking on suc ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/sonia-kruger,Sonia Kruger,,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speaker-filter-search-results/speakers/Presentation%20Skills,PRESENTATION SKILLS,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,"An accomplished presenter, actress, dancer, interviewer and entertainer, Sonia is one of Australia's most recognized and loved faces and one of the Seven Network's most popular personalities. Sonia Kruger is the entertainment reporter for Seven's public affairs program Today Tonight and co-host of Seven's runaway hit, Dancing with the Stars. Sonia's TV Series for the 7 Network '10 years younger ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/alvin-law,Alvin Law,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adversity,ADVERSITY,https://www.ovations.com.au/speakers/after-dinner,AFTER DINNER,https://www.ovations.com.au/speakers/change,CHANGE,https://www.ovations.com.au/speakers/leadership,LEADERSHIP,https://www.ovations.com.au/speakers/motivation-inspiration,MOTIVATION / INSPIRATION,https://www.ovations.com.au/speaker-filter-search-results/speakers/Personal%20Development,PERSONAL DEVELOPMENT,,,,,,,,,"Alvin's story is about real-life challenge and triumph and is one that is impossible to forget. Alvin Law, (CSP, HoF) can be hard to define. It seems obvious when you see him, but when you experience his program, something indescribable takes place. He has no arms, so you think his program must be yet another example of someone overcoming a handicap. But ask Alvin and he'd say it's that very p ...",,,,,,,,,,,
https://www.ovations.com.au/speakers/jules-lund,Jules Lund,,https://www.ovations.com.au/speaker-filter-search-results/speakers/Adventurer,ADVENTURER,https://www.ovations.com.au/speakers/celebrity,CELEBRITY,https://www.ovations.com.au/speakers/master-of-ceremonies,MASTER OF CEREMONIES,,,,,,,,,,,,,,,"Jules Lund has a consuming passion for life. Jules has hosted his own weekly radio show on Melbourne's FOX FM, travelled the globe hosting the Extreme Games for an international audience, hosted the top rating show Things to Try Before You Die, been the subject of a six-part series on his adventures through Brazil, Malaysia, USA, Spain and has co-hosted the Channel Nine music show, So Fresh. But A ...",,,,,,,,,,,
